"";"country";"Year";"GDP_per_capita";"life_expectancy";"population";"continent";"child_per_woman";"child_mortality";"health_spend";"maternal_mortality"
"8574";"Vietnam";1863;838;32;9640000;"Asia";4,7;417;NA;NA
"8575";"Zambia";1863;772;32,6;745000;"Africa";6,71;410;NA;NA
"8576";"Zimbabwe";1863;937;33,7;1480000;"Africa";6,75;396;NA;NA
"8577";"Afghanistan";1864;702;27,6;4050000;"Asia";7;477;NA;NA
"8578";"Albania";1864;739;35,4;575000;"Europe";4,6;375;NA;NA
"8579";"Algeria";1864;1180;28,8;3640000;"Africa";6,99;460;NA;NA
"8580";"Angola";1864;818;27;2200000;"Africa";6,98;486;NA;NA
"8581";"Argentina";1864;2820;33,2;1570000;"Americas";6,8;402;NA;NA
"8582";"Australia";1864;4800;34;1460000;"Oceania";5,75;280;NA;NA
"8583";"Austria";1864;3300;34,4;4360000;"Europe";4,94;406;NA;NA
"8584";"Bahrain";1864;1800;30,3;64600;"Asia";7;440;NA;NA
"8585";"Bangladesh";1864;880;25;24100000;"Asia";6,7;508;NA;NA
"8586";"Belgium";1864;4560;39,8;4890000;"Europe";4,66;289;NA;NA
"8587";"Benin";1864;740;31;979000;"Africa";5,61;430;NA;NA
"8588";"Bolivia";1864;1300;33;1490000;"Americas";6,48;405;NA;NA
"8589";"Bosnia and Herzegovina";1864;787;35,1;1250000;"Europe";5,39;379;NA;NA
"8590";"Botswana";1864;493;33,6;121000;"Africa";6,49;397;NA;NA
"8591";"Brazil";1864;1330;32;9020000;"Americas";6,26;417;NA;NA
"8592";"Bulgaria";1864;1360;38,6;2580000;"Europe";5,16;338;NA;NA
"8593";"Burkina Faso";1864;505;29,2;2290000;"Africa";6,07;455;NA;NA
"8594";"Burundi";1864;444;31,5;1250000;"Africa";6,81;424;NA;NA
"8595";"Cambodia";1864;967;35;2320000;"Asia";6,95;380;NA;NA
"8596";"Cameroon";1864;777;28,8;2100000;"Africa";5,54;460;NA;NA
"8597";"Canada";1864;2560;41,9;3480000;"Americas";5,44;302;NA;NA
"8598";"Central African Republic";1864;526;30;593000;"Africa";6,51;444;NA;NA
"8599";"Chad";1864;519;30,9;1440000;"Africa";6,06;432;NA;NA
"8600";"Chile";1864;1710;32;1780000;"Americas";5,67;417;NA;NA
"8601";"China";1864;1100;31,7;3,72e+08;"Asia";5,5;430;NA;NA
"8602";"Colombia";1864;1080;32;2320000;"Americas";6,19;417;NA;NA
"8603";"Comoros";1864;743;32,1;79900;"Africa";6,01;416;NA;NA
"8604";"Congo, Dem. Rep.";1864;631;31,6;6900000;"Africa";5,99;423;NA;NA
"8605";"Congo, Rep.";1864;689;32,7;435000;"Africa";5,67;409;NA;NA
"8606";"Costa Rica";1864;1270;30,2;124000;"Americas";6,93;441;NA;NA
"8607";"Cote d'Ivoire";1864;1050;31,2;1470000;"Africa";6,78;428;NA;NA
"8608";"Croatia";1864;1820;36,1;1810000;"Europe";5,75;367;NA;NA
"8609";"Cuba";1864;1810;34,8;1360000;"Americas";5,78;382;NA;NA
"8610";"Czech Republic";1864;2590;35;6480000;"Europe";5,1;380;NA;NA
"8611";"Denmark";1864;3200;40,2;1770000;"Europe";4,06;260;NA;NA
"8612";"Djibouti";1864;921;29,9;32000;"Africa";6,3;445;NA;NA
"8613";"Dominican Republic";1864;849;29,9;212000;"Americas";6,16;445;NA;NA
"8614";"Ecuador";1864;703;32,9;960000;"Americas";7;406;NA;NA
"8615";"Egypt";1864;971;33;6590000;"Africa";6,04;405;NA;NA
"8616";"El Salvador";1864;1410;28,7;452000;"Americas";5,9;462;NA;NA
"8617";"Equatorial Guinea";1864;387;29,8;93100;"Africa";5,51;447;NA;NA
"8618";"Eritrea";1864;597;30,2;368000;"Africa";6,96;441;NA;NA
"8619";"Ethiopia";1864;532;26;5480000;"Africa";7,17;448;NA;NA
"8620";"Finland";1864;1610;39,6;1770000;"Europe";5,28;360;NA;NA
"8621";"France";1864;3390;42;37700000;"Europe";3,51;265;NA;NA
"8622";"Gabon";1864;394;30,6;229000;"Africa";6,26;436;NA;NA
"8623";"Gambia";1864;845;28,8;143000;"Africa";6,51;460;NA;NA
"8624";"Germany";1864;2720;38,4;37600000;"Europe";5,03;482;NA;NA
"8625";"Ghana";1864;732;28;1640000;"Africa";6,43;471;NA;NA
"8626";"Greece";1864;1920;36,6;3470000;"Europe";3,94;361;NA;NA
"8627";"Guatemala";1864;1230;25,8;1010000;"Americas";6,45;503;NA;NA
"8628";"Guinea";1864;494;30,2;1450000;"Africa";6,11;441;NA;NA
"8629";"Guinea-Bissau";1864;808;32;294000;"Africa";7,25;417;NA;NA
"8630";"Haiti";1864;994;29;1090000;"Americas";6,31;486;NA;NA
"8631";"Honduras";1864;1190;33,9;392000;"Americas";6,19;393;NA;NA
"8632";"Hungary";1864;1760;36;5680000;"Europe";5,03;416;NA;NA
"8633";"Iceland";1864;1500;34,8;81700;"Europe";4,56;327;NA;NA
"8634";"India";1864;1060;25,3;2,08e+08;"Asia";5,95;509;NA;NA
"8635";"Indonesia";1864;1060;30;25300000;"Asia";6,07;444;NA;NA
"8636";"Iran";1864;1060;25,6;8140000;"Asia";7,08;506;NA;NA
"8637";"Iraq";1864;1160;31,2;1520000;"Asia";7,13;428;NA;NA
"8638";"Ireland";1864;2710;39,6;4020000;"Europe";3,24;146;NA;NA
"8639";"Israel";1864;888;32;238000;"Asia";5,17;447;NA;NA
"8640";"Italy";1864;2470;29,7;26800000;"Europe";4,9;448;NA;NA
"8641";"Jamaica";1864;906;34,2;468000;"Americas";5,13;390;NA;NA
"8642";"Japan";1864;1180;36,4;33700000;"Asia";4,7;363;NA;NA
"8643";"Jordan";1864;1170;31,7;262000;"Asia";6,97;421;NA;NA
"8644";"Kenya";1864;1040;25,5;2590000;"Africa";6,91;508;NA;NA
"8645";"Kuwait";1864;1390;26;81200;"Asia";6,87;500;NA;NA
"8646";"Lebanon";1864;1480;29,7;449000;"Asia";5,74;448;NA;NA
"8647";"Lesotho";1864;407;32,8;385000;"Africa";5,84;407;NA;NA
"8648";"Liberia";1864;899;31,1;452000;"Africa";6,19;429;NA;NA
"8649";"Libya";1864;1800;33,1;683000;"Africa";7,2;405;NA;NA
"8650";"Madagascar";1864;710;30,5;2270000;"Africa";6,89;437;NA;NA
"8651";"Malawi";1864;353;30,3;744000;"Africa";6,78;440;NA;NA
"8652";"Malaysia";1864;1090;30,6;717000;"Asia";5,45;436;NA;NA
"8653";"Mali";1864;613;26,4;2110000;"Africa";6,23;494;NA;NA
"8654";"Mauritania";1864;654;32;460000;"Africa";6,34;417;NA;NA
"8655";"Mauritius";1864;1170;27,9;305000;"Africa";5,03;342;NA;NA
"8656";"Mexico";1864;1250;26,9;8770000;"Americas";6,8;487;NA;NA
"8657";"Mongolia";1864;640;31,8;661000;"Asia";5,94;420;NA;NA
"8658";"Montenegro";1864;1430;35,4;187000;"Europe";5,39;375;NA;NA
"8659";"Morocco";1864;774;33,1;3630000;"Africa";6,5;403;NA;NA
"8660";"Mozambique";1864;405;30,3;3040000;"Africa";6,63;440;NA;NA
"8661";"Myanmar";1864;848;30,8;4200000;"Asia";6,03;433;NA;NA
"8662";"Namibia";1864;1040;32,4;230000;"Africa";5,96;412;NA;NA
"8663";"Nepal";1864;660;32,8;4620000;"Asia";6,15;407;NA;NA
"8664";"Netherlands";1864;4940;37,6;3440000;"Europe";4,99;315;NA;NA
"8665";"New Zealand";1864;4200;34;202000;"Oceania";5,16;187;NA;NA
"8666";"Nicaragua";1864;1560;25,4;386000;"Americas";6,16;509;NA;NA
"8667";"Niger";1864;553;30,8;1580000;"Africa";6,83;433;NA;NA
"8668";"Nigeria";1864;1080;30,4;14600000;"Africa";6,55;438;NA;NA
"8669";"Norway";1864;2240;48,8;1650000;"Europe";4,55;187;NA;NA
"8670";"Oman";1864;1100;32,3;361000;"Asia";6,88;414;NA;NA
"8671";"Pakistan";1864;1030;25,8;15800000;"Asia";6,59;502;NA;NA
"8672";"Panama";1864;1400;32,9;163000;"Americas";5,36;406;NA;NA
"8673";"Paraguay";1864;1450;35,5;375000;"Americas";6,49;374;NA;NA
"8674";"Peru";1864;1360;35,7;2420000;"Americas";6,82;372;NA;NA
"8675";"Philippines";1864;1030;30,9;4e+06;"Asia";6,45;432;NA;NA
"8676";"Poland";1864;1550;35,9;15700000;"Europe";6,2;369;NA;NA
"8677";"Portugal";1864;1640;35,6;4150000;"Europe";4,09;373;NA;NA
"8678";"Romania";1864;1490;35,7;8800000;"Europe";4,82;398;NA;NA
"8679";"Rwanda";1864;467;31,8;1230000;"Africa";7,07;420;NA;NA
"8680";"Sao Tome and Principe";1864;957;31;31700;"Africa";6,23;341;NA;NA
"8681";"Saudi Arabia";1864;905;32,1;2310000;"Asia";6,86;416;NA;NA
"8682";"Senegal";1864;617;25,2;1360000;"Africa";5,7;512;NA;NA
"8683";"Serbia";1864;1840;35,5;3160000;"Europe";5,96;374;NA;NA
"8684";"Sierra Leone";1864;910;25,1;1080000;"Africa";5,72;514;NA;NA
"8685";"Singapore";1864;1130;34;75400;"Asia";5,24;392;NA;NA
"8686";"Slovak Republic";1864;1930;36,4;2510000;"Europe";5,94;363;NA;NA
"8687";"Slovenia";1864;1910;36,6;693000;"Europe";4,25;361;NA;NA
"8688";"Somalia";1864;737;29,4;1320000;"Africa";6,87;452;NA;NA
"8689";"South Africa";1864;1680;33,5;2420000;"Africa";6,47;398;NA;NA
"8690";"Spain";1864;1940;29,5;15900000;"Europe";5,19;325;NA;NA
"8691";"Sri Lanka";1864;1240;32,6;2600000;"Asia";5,68;410;NA;NA
"8692";"Sudan";1864;643;31,4;4760000;"Africa";6,64;425;NA;NA
"8693";"Swaziland";1864;607;32,3;86400;"Africa";6,71;414;NA;NA
"8694";"Sweden";1864;2010;44,8;3950000;"Europe";4,69;235;NA;NA
"8695";"Switzerland";1864;4660;38;2570000;"Europe";4,32;345;NA;NA
"8696";"Syria";1864;1140;31,1;1550000;"Asia";6,85;429;NA;NA
"8697";"Tanzania";1864;634;32,2;3520000;"Africa";6,74;415;NA;NA
"8698";"Thailand";1864;995;30,4;5640000;"Asia";6,35;438;NA;NA
"8699";"Togo";1864;846;31,3;656000;"Africa";6,34;427;NA;NA
"8700";"Trinidad and Tobago";1864;1570;38,8;110000;"Americas";4,82;336;NA;NA
"8701";"Tunisia";1864;886;28,8;1140000;"Africa";6,4;460;NA;NA
"8702";"Turkey";1864;1550;35;11600000;"Europe";6,92;380;NA;NA
"8703";"Uganda";1864;575;25,3;2430000;"Africa";6,89;511;NA;NA
"8704";"United Kingdom";1864;5440;40;25900000;"Europe";4,96;272;NA;NA
"8705";"United States";1864;4120;31;35400000;"Americas";5,18;329;NA;NA
"8706";"Uruguay";1864;4940;32,9;265000;"Americas";5,78;406;NA;NA
"8707";"Venezuela";1864;831;32,2;1580000;"Americas";5,86;415;NA;NA
"8708";"Vietnam";1864;837;32;9720000;"Asia";4,7;417;NA;NA
"8709";"Zambia";1864;774;32,6;745000;"Africa";6,71;410;NA;NA
"8710";"Zimbabwe";1864;939;33,7;1490000;"Africa";6,75;396;NA;NA
"8711";"Afghanistan";1865;704;27,5;4070000;"Asia";7;479;NA;NA
"8712";"Albania";1865;741;35,4;581000;"Europe";4,6;375;NA;NA
"8713";"Algeria";1865;1200;28,8;3670000;"Africa";6,99;460;NA;NA
"8714";"Angola";1865;822;27;2220000;"Africa";6,98;486;NA;NA
"8715";"Argentina";1865;2860;33,2;1620000;"Americas";6,8;402;NA;NA
"8716";"Australia";1865;4580;34;1510000;"Oceania";5,64;258;NA;NA
"8717";"Austria";1865;3320;34,4;4390000;"Europe";4,89;438;NA;NA
"8718";"Bahrain";1865;1820;30,3;64700;"Asia";7;440;NA;NA
"8719";"Bangladesh";1865;880;24;24200000;"Asia";6,7;508;NA;NA
"8720";"Belgium";1865;4530;37,7;4920000;"Europe";4,68;318;NA;NA
"8721";"Benin";1865;744;31;989000;"Africa";5,61;430;NA;NA
"8722";"Bolivia";1865;1310;33;1500000;"Americas";6,48;405;NA;NA
"8723";"Bosnia and Herzegovina";1865;788;35,1;1260000;"Europe";5,39;379;NA;NA
"8724";"Botswana";1865;495;33,6;121000;"Africa";6,49;397;NA;NA
"8725";"Brazil";1865;1430;32;9160000;"Americas";6,26;417;NA;NA
"8726";"Bulgaria";1865;1360;38,7;2590000;"Europe";5,16;337;NA;NA
"8727";"Burkina Faso";1865;506;29,2;2310000;"Africa";6,07;455;NA;NA
"8728";"Burundi";1865;444;31,5;1260000;"Africa";6,81;424;NA;NA
"8729";"Cambodia";1865;968;35;2330000;"Asia";6,95;380;NA;NA
"8730";"Cameroon";1865;780;28,8;2110000;"Africa";5,54;460;NA;NA
"8731";"Canada";1865;2600;42;3540000;"Americas";5,35;301;NA;NA
"8732";"Central African Republic";1865;529;30;596000;"Africa";6,51;444;NA;NA
"8733";"Chad";1865;521;30,9;1440000;"Africa";6,06;432;NA;NA
"8734";"Chile";1865;1750;32;1810000;"Americas";4,82;417;NA;NA
"8735";"China";1865;1070;31,7;3,71e+08;"Asia";5,5;429;NA;NA
"8736";"Colombia";1865;1080;32;2340000;"Americas";6,19;417;NA;NA
"8737";"Comoros";1865;744;32,1;80600;"Africa";6,01;416;NA;NA
"8738";"Congo, Dem. Rep.";1865;634;31,6;6950000;"Africa";5,99;423;NA;NA
"8739";"Congo, Rep.";1865;691;32,7;438000;"Africa";5,67;409;NA;NA
"8740";"Costa Rica";1865;1280;30,2;126000;"Americas";6,93;441;NA;NA
"8741";"Cote d'Ivoire";1865;1050;31,2;1480000;"Africa";6,78;428;NA;NA
"8742";"Croatia";1865;1830;36,1;1830000;"Europe";5,75;367;NA;NA
"8743";"Cuba";1865;1840;33,8;1370000;"Americas";5,78;395;NA;NA
"8744";"Czech Republic";1865;2600;35;6510000;"Europe";5,1;380;NA;NA
"8745";"Denmark";1865;3280;39,9;1790000;"Europe";4,21;267;NA;NA
"8746";"Djibouti";1865;924;29,9;32300;"Africa";6,3;445;NA;NA
"8747";"Dominican Republic";1865;854;29,9;217000;"Americas";6,16;445;NA;NA
"8748";"Ecuador";1865;707;32,9;971000;"Americas";7;406;NA;NA
"8749";"Egypt";1865;976;33;6660000;"Africa";6,04;405;NA;NA
"8750";"El Salvador";1865;1430;28,7;459000;"Americas";5,9;462;NA;NA
"8751";"Equatorial Guinea";1865;388;29,8;93400;"Africa";5,51;447;NA;NA
"8752";"Eritrea";1865;598;30,2;373000;"Africa";6,96;441;NA;NA
"8753";"Ethiopia";1865;532;25;5560000;"Africa";7,17;448;NA;NA
"8754";"Finland";1865;1580;35,8;1780000;"Europe";4,79;357;NA;NA
"8755";"France";1865;3330;40,2;37800000;"Europe";3,53;283;NA;NA
"8756";"Gabon";1865;394;30,6;231000;"Africa";6,26;436;NA;NA
"8757";"Gambia";1865;846;28,8;144000;"Africa";6,51;460;NA;NA
"8758";"Germany";1865;2710;38,4;37900000;"Europe";5,06;539;NA;NA
"8759";"Ghana";1865;733;28;1630000;"Africa";6,43;471;NA;NA
"8760";"Greece";1865;1920;36,6;3500000;"Europe";3,73;361;NA;NA
"8761";"Guatemala";1865;1240;25,8;1020000;"Americas";6,45;503;NA;NA
"8762";"Guinea";1865;495;30,2;1460000;"Africa";6,11;441;NA;NA
"8763";"Guinea-Bissau";1865;808;32;297000;"Africa";7,25;417;NA;NA
"8764";"Haiti";1865;1000;29;1100000;"Americas";6,31;486;NA;NA
"8765";"Honduras";1865;1200;33,9;395000;"Americas";6,19;393;NA;NA
"8766";"Hungary";1865;1780;36;5720000;"Europe";5,11;364;NA;NA
"8767";"Iceland";1865;1520;34,2;82300;"Europe";4,5;330;NA;NA
"8768";"India";1865;1060;25,3;2,09e+08;"Asia";5,95;509;NA;NA
"8769";"Indonesia";1865;1070;30;25600000;"Asia";6,07;444;NA;NA
"8770";"Iran";1865;1070;25,6;8180000;"Asia";7,08;506;NA;NA
"8771";"Iraq";1865;1170;31,2;1530000;"Asia";7,13;428;NA;NA
"8772";"Ireland";1865;2750;39,9;3990000;"Europe";3,47;146;NA;NA
"8773";"Israel";1865;888;32;240000;"Asia";5,16;447;NA;NA
"8774";"Italy";1865;2600;29,7;2,7e+07;"Europe";4,91;448;NA;NA
"8775";"Jamaica";1865;906;34,2;473000;"Americas";5,13;390;NA;NA
"8776";"Japan";1865;1190;36,4;33900000;"Asia";4,55;363;NA;NA
"8777";"Jordan";1865;1180;31,7;263000;"Asia";6,97;421;NA;NA
"8778";"Kenya";1865;1050;25,5;2590000;"Africa";6,91;508;NA;NA
"8779";"Kuwait";1865;1400;26;81300;"Asia";6,87;500;NA;NA
"8780";"Lebanon";1865;1500;29,7;452000;"Asia";5,74;448;NA;NA
"8781";"Lesotho";1865;408;32,8;388000;"Africa";5,84;407;NA;NA
"8782";"Liberia";1865;902;31,1;456000;"Africa";6,19;429;NA;NA
"8783";"Libya";1865;1830;33,1;688000;"Africa";7,2;405;NA;NA
"8784";"Madagascar";1865;714;30,5;2290000;"Africa";6,89;437;NA;NA
"8785";"Malawi";1865;353;30,3;744000;"Africa";6,78;440;NA;NA
"8786";"Malaysia";1865;1100;30,6;735000;"Asia";5,45;436;NA;NA
"8787";"Mali";1865;614;26,4;2130000;"Africa";6,23;494;NA;NA
"8788";"Mauritania";1865;657;32;461000;"Africa";6,34;417;NA;NA
"8789";"Mauritius";1865;1170;28,4;311000;"Africa";5,03;318;NA;NA
"8790";"Mexico";1865;1250;26,9;8860000;"Americas";6,8;487;NA;NA
"8791";"Mongolia";1865;641;31,8;662000;"Asia";5,94;420;NA;NA
"8792";"Montenegro";1865;1440;35,4;188000;"Europe";5,39;375;NA;NA
"8793";"Morocco";1865;775;33,1;3650000;"Africa";6,5;403;NA;NA
"8794";"Mozambique";1865;405;30,3;3060000;"Africa";6,63;440;NA;NA
"8795";"Myanmar";1865;848;30,8;4240000;"Asia";6,03;433;NA;NA
"8796";"Namibia";1865;1060;32,4;230000;"Africa";5,96;412;NA;NA
"8797";"Nepal";1865;660;32,8;4640000;"Asia";6,15;407;NA;NA
"8798";"Netherlands";1865;4940;36,4;3470000;"Europe";5,01;341;NA;NA
"8799";"New Zealand";1865;4350;34;217000;"Oceania";5,51;168;NA;NA
"8800";"Nicaragua";1865;1570;25,4;389000;"Americas";6,16;509;NA;NA
"8801";"Niger";1865;556;30,8;1590000;"Africa";6,83;433;NA;NA
"8802";"Nigeria";1865;1080;30,4;14700000;"Africa";6,55;438;NA;NA
"8803";"Norway";1865;2340;50,4;1660000;"Europe";4,6;180;NA;NA
"8804";"Oman";1865;1110;32,3;362000;"Asia";6,88;414;NA;NA
"8805";"Pakistan";1865;1030;25,8;15900000;"Asia";6,59;502;NA;NA
"8806";"Panama";1865;1410;32,9;165000;"Americas";5,36;406;NA;NA
"8807";"Paraguay";1865;1470;35,5;377000;"Americas";6,49;374;NA;NA
"8808";"Peru";1865;1360;35,7;2450000;"Americas";6,82;372;NA;NA
"8809";"Philippines";1865;1030;30,9;4060000;"Asia";6,42;432;NA;NA
"8810";"Poland";1865;1550;35,9;15900000;"Europe";5,83;369;NA;NA
"8811";"Portugal";1865;1640;35,6;4180000;"Europe";4,1;373;NA;NA
"8812";"Romania";1865;1510;35,7;8860000;"Europe";4,64;356;NA;NA
"8813";"Rwanda";1865;468;31,8;1240000;"Africa";7,07;420;NA;NA
"8814";"Sao Tome and Principe";1865;959;31;31900;"Africa";6,23;340;NA;NA
"8815";"Saudi Arabia";1865;906;32,1;2310000;"Asia";6,86;416;NA;NA
"8816";"Senegal";1865;620;25,2;1370000;"Africa";5,7;512;NA;NA
"8817";"Serbia";1865;1840;35,5;3190000;"Europe";5,97;374;NA;NA
"8818";"Sierra Leone";1865;915;25,1;1090000;"Africa";5,72;514;NA;NA
"8819";"Singapore";1865;1130;34;77200;"Asia";5,23;392;NA;NA
"8820";"Slovak Republic";1865;1940;36,4;2520000;"Europe";5,94;363;NA;NA
"8821";"Slovenia";1865;1910;36,6;699000;"Europe";4,23;361;NA;NA
"8822";"Somalia";1865;738;29,4;1330000;"Africa";6,87;452;NA;NA
"8823";"South Africa";1865;1240;33,5;2450000;"Africa";6,47;398;NA;NA
"8824";"Spain";1865;1870;29,5;15900000;"Europe";5,11;327;NA;NA
"8825";"Sri Lanka";1865;1270;32,6;2630000;"Asia";5,68;410;NA;NA
"8826";"Sudan";1865;646;31,4;4760000;"Africa";6,64;425;NA;NA
"8827";"Swaziland";1865;610;32,3;86400;"Africa";6,71;414;NA;NA
"8828";"Sweden";1865;2040;45,4;3990000;"Europe";4,58;233;NA;NA
"8829";"Switzerland";1865;5020;38;2590000;"Europe";4,26;345;NA;NA
"8830";"Syria";1865;1150;31,1;1560000;"Asia";6,85;429;NA;NA
"8831";"Tanzania";1865;636;32,2;3530000;"Africa";6,74;415;NA;NA
"8832";"Thailand";1865;996;30,4;5670000;"Asia";6,35;438;NA;NA
"8833";"Togo";1865;851;31,3;662000;"Africa";6,34;427;NA;NA
"8834";"Trinidad and Tobago";1865;1580;38,8;113000;"Americas";4,82;336;NA;NA
"8835";"Tunisia";1865;890;28,8;1150000;"Africa";6,4;460;NA;NA
"8836";"Turkey";1865;1550;35;11700000;"Europe";6,92;380;NA;NA
"8837";"Uganda";1865;578;25,3;2440000;"Africa";6,89;511;NA;NA
"8838";"United Kingdom";1865;5520;40,6;26200000;"Europe";4,94;267;NA;NA
"8839";"United States";1865;3910;38;36300000;"Americas";5,15;329;NA;NA
"8840";"Uruguay";1865;5060;32,9;277000;"Americas";5,78;406;NA;NA
"8841";"Venezuela";1865;834;32,2;1600000;"Americas";5,87;415;NA;NA
"8842";"Vietnam";1865;837;32;9810000;"Asia";4,7;417;NA;NA
"8843";"Zambia";1865;776;32,6;745000;"Africa";6,71;410;NA;NA
"8844";"Zimbabwe";1865;940;33,7;1500000;"Africa";6,75;396;NA;NA
"8845";"Afghanistan";1866;707;27,5;4080000;"Asia";7;479;NA;NA
"8846";"Albania";1866;743;35,4;586000;"Europe";4,6;375;NA;NA
"8847";"Algeria";1866;1210;28,8;3690000;"Africa";6,99;460;NA;NA
"8848";"Angola";1866;825;27;2240000;"Africa";6,98;486;NA;NA
"8849";"Argentina";1866;2900;33,2;1660000;"Americas";6,8;402;NA;NA
"8850";"Australia";1866;4710;34;1550000;"Oceania";5,33;237;NA;NA
"8851";"Austria";1866;3340;34,4;4420000;"Europe";4,85;451;NA;NA
"8852";"Bahrain";1866;1840;30,3;64800;"Asia";7;440;NA;NA
"8853";"Bangladesh";1866;880;25,2;24300000;"Asia";6,7;508;NA;NA
"8854";"Belgium";1866;4630;32,5;4960000;"Europe";4,71;320;NA;NA
"8855";"Benin";1866;747;31;998000;"Africa";5,61;430;NA;NA
"8856";"Bolivia";1866;1320;33;1500000;"Americas";6,48;405;NA;NA
"8857";"Bosnia and Herzegovina";1866;788;35,1;1280000;"Europe";5,38;379;NA;NA
"8858";"Botswana";1866;497;33,6;121000;"Africa";6,49;397;NA;NA
"8859";"Brazil";1866;1480;32;9320000;"Americas";6,26;417;NA;NA
"8860";"Bulgaria";1866;1370;38,7;2600000;"Europe";5,16;337;NA;NA
"8861";"Burkina Faso";1866;507;29,2;2330000;"Africa";6,07;455;NA;NA
"8862";"Burundi";1866;444;31,5;1260000;"Africa";6,81;424;NA;NA
"8863";"Cambodia";1866;970;35;2340000;"Asia";6,95;380;NA;NA
"8864";"Cameroon";1866;784;28,8;2110000;"Africa";5,54;460;NA;NA
"8865";"Canada";1866;2640;42,1;3600000;"Americas";5,26;300;NA;NA
"8866";"Central African Republic";1866;531;30;598000;"Africa";6,51;444;NA;NA
"8867";"Chad";1866;524;30,9;1440000;"Africa";6,06;432;NA;NA
"8868";"Chile";1866;1770;32;1840000;"Americas";5,15;417;NA;NA
"8869";"China";1866;1090;31,8;3,69e+08;"Asia";5,5;427;NA;NA
"8870";"Colombia";1866;1090;32;2370000;"Americas";6,19;417;NA;NA
"8871";"Comoros";1866;744;32,1;81200;"Africa";6,01;416;NA;NA
"8872";"Congo, Dem. Rep.";1866;636;31,6;6990000;"Africa";5,99;423;NA;NA
"8873";"Congo, Rep.";1866;693;32,7;442000;"Africa";5,67;409;NA;NA
"8874";"Costa Rica";1866;1300;30,2;128000;"Americas";6,93;441;NA;NA
"8875";"Cote d'Ivoire";1866;1060;31,2;1490000;"Africa";6,78;428;NA;NA
"8876";"Croatia";1866;1840;36,1;1840000;"Europe";5,75;367;NA;NA
"8877";"Cuba";1866;1860;32,7;1380000;"Americas";5,78;409;NA;NA
"8878";"Czech Republic";1866;2610;35;6530000;"Europe";5,11;380;NA;NA
"8879";"Denmark";1866;3260;43;1810000;"Europe";4,32;240;NA;NA
"8880";"Djibouti";1866;927;29,9;32500;"Africa";6,3;445;NA;NA
"8881";"Dominican Republic";1866;858;29,9;223000;"Americas";6,16;445;NA;NA
"8882";"Ecuador";1866;712;32,9;983000;"Americas";7;406;NA;NA
"8883";"Egypt";1866;980;33;6730000;"Africa";6,04;405;NA;NA
"8884";"El Salvador";1866;1440;28,7;466000;"Americas";5,9;462;NA;NA
"8885";"Equatorial Guinea";1866;388;29,8;93800;"Africa";5,51;447;NA;NA
"8886";"Eritrea";1866;600;30,2;377000;"Africa";6,96;441;NA;NA
"8887";"Ethiopia";1866;533;24;5640000;"Africa";7,17;448;NA;NA
"8888";"Finland";1866;1590;28,7;1790000;"Europe";4,46;354;NA;NA
"8889";"France";1866;3470;41,8;37800000;"Europe";3,53;253;NA;NA
"8890";"Gabon";1866;394;30,6;233000;"Africa";6,25;436;NA;NA
"8891";"Gambia";1866;846;28,8;146000;"Africa";6,51;460;NA;NA
"8892";"Germany";1866;2710;38,4;38200000;"Europe";5,09;489;NA;NA
"8893";"Ghana";1866;733;28;1630000;"Africa";6,43;471;NA;NA
"8894";"Greece";1866;1930;36,6;3530000;"Europe";4,03;361;NA;NA
"8895";"Guatemala";1866;1250;25,8;1030000;"Americas";6,45;503;NA;NA
"8896";"Guinea";1866;496;30,2;1480000;"Africa";6,11;441;NA;NA
"8897";"Guinea-Bissau";1866;809;32;299000;"Africa";7,25;417;NA;NA
"8898";"Haiti";1866;1010;29;1110000;"Americas";6,31;486;NA;NA
"8899";"Honduras";1866;1220;33,9;398000;"Americas";6,19;393;NA;NA
"8900";"Hungary";1866;1790;36;5750000;"Europe";5,02;366;NA;NA
"8901";"Iceland";1866;1530;27,2;82800;"Europe";4,44;384;NA;NA
"8902";"India";1866;1060;21;2,1e+08;"Asia";5,95;509;NA;NA
"8903";"Indonesia";1866;1070;30;25900000;"Asia";6,07;444;NA;NA
"8904";"Iran";1866;1070;25,6;8220000;"Asia";7,08;506;NA;NA
"8905";"Iraq";1866;1170;31,2;1540000;"Asia";7,13;428;NA;NA
"8906";"Ireland";1866;2790;40,1;3970000;"Europe";3,54;138;NA;NA
"8907";"Israel";1866;888;32;243000;"Asia";5,15;447;NA;NA
"8908";"Italy";1866;2420;29,7;27200000;"Europe";4,91;448;NA;NA
"8909";"Jamaica";1866;905;34,2;479000;"Americas";5,13;390;NA;NA
"8910";"Japan";1866;1190;36,5;3,4e+07;"Asia";4,41;362;NA;NA
"8911";"Jordan";1866;1180;31,7;264000;"Asia";6,97;421;NA;NA
"8912";"Kenya";1866;1050;25,5;2590000;"Africa";6,91;508;NA;NA
"8913";"Kuwait";1866;1400;26;81400;"Asia";6,87;500;NA;NA
"8914";"Lebanon";1866;1500;29,7;455000;"Asia";5,74;448;NA;NA
"8915";"Lesotho";1866;408;32,8;391000;"Africa";5,84;407;NA;NA
"8916";"Liberia";1866;904;31,1;460000;"Africa";6,19;429;NA;NA
"8917";"Libya";1866;1850;33,1;692000;"Africa";7,2;405;NA;NA
